PRACTICE_ID,ORG_NPI,TOT_3PRD_PHYS,COMMON_SPEC_OVERALL1,SING_SPEC_FLAG,SING_SPEC_TYPE,PCP_SPEC_FOCUS_FLAG,COMMON_SPEC_PCP1,COMMON_SPEC_PCP2,COMMON_SPEC_PCP3,COMMON_SPEC_PCP4,COMMON_SPEC_PCP5,MED_SPEC_FLAG,COMMON_SPEC_MED1,COMMON_SPEC_MED2,COMMON_SPEC_MED3,COMMON_SPEC_MED4,COMMON_SPEC_MED5,SURG_SPEC_FLAG,COMMON_SPEC_SURG1,COMMON_SPEC_SURG2,COMMON_SPEC_SURG3,COMMON_SPEC_SURG4,COMMON_SPEC_SURG5,OBGYN_SPEC_FLAG,PSYCH_SPEC_FLAG,OTHR_SPEC_FLAG,STATE,ZIP_CD
25298,1023384864,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90640
7000,1841200748,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92262
7167,1306342472,1,Cardiology,1,Cardiology,0,,,,,,1,Cardiology,,,,,0,,,,,,0,0,0,CA,92843
16434,1356479877,12,Internal medicine,0,,1,Internal medicine,Family practice,,,,0,,,,,,0,,,,,,0,0,0,CA,93728
4632,1225285810,1,Sleep medicine,1,Sleep medicine,0,,,,,,1,Sleep medicine,,,,,0,,,,,,0,0,0,CA,93940
20974,1326346438,5,Emergency medicine,1,Emergency medicine,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,92501
25486,1174554927,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,91773
20842,1982781159,1,General practice,1,General practice,1,General practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,94103
4006,1538301064,1,Vascular surgery,1,Vascular surgery,0,,,,,,0,,,,,,1,Vascular surgery,,,,,0,0,0,CA,95608
10925,1801227913,1,Obstetrics/gynecology,1,Obstetrics/gynecology,0,,,,,,0,,,,,,0,,,,,,1,0,0,CA,90017
21833,1629042437,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,94402
24721,1942471842,1,Allergy/immunology,1,Allergy/immunology,0,,,,,,1,Allergy/immunology,,,,,0,,,,,,0,0,0,CA,91740
13613,1295779197,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,95630
21832,1629042437,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,94401
25613,1962464529,2,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,91767
775,1801307368,3,Family practice,0,,1,Family practice,Internal medicine,,,,0,,,,,,0,,,,,,0,0,0,CA,91763
19396,1548656358,1,Physical medicine and rehabilitation,1,Physical medicine and rehabilitation,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,93309
3449,1114222155,2,Gastroenterology,0,,0,,,,,,1,Gastroenterology,Allergy/immunology,,,,0,,,,,,0,0,0,CA,92071
19844,1720168909,4,Gastroenterology,1,Gastroenterology,0,,,,,,1,Gastroenterology,,,,,0,,,,,,0,0,0,CA,93105
5871,1275523169,18,Diagnostic radiology,0,,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,93635
19522,1700154168,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,93940
19897,1659609964,1,Cardiology,1,Cardiology,0,,,,,,1,Cardiology,,,,,0,,,,,,0,0,0,CA,95476
26294,1285810994,2,Ophthalmology,1,Ophthalmology,0,,,,,,0,,,,,,1,Ophthalmology,,,,,0,0,0,CA,91105
3317,1275653222,1,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,92833
20341,1457306839,34,Diagnostic radiology,0,,0,,,,,,1,Neurology,Cardiology,,,,1,Vascular surgery,,,,,0,0,0,CA,94114
2198,1386605327,1,Anesthesiology,1,Anesthesiology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,91405
3936,1316120603,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90025
9270,1144505801,1,General surgery,1,General surgery,0,,,,,,0,,,,,,1,General surgery,,,,,0,0,0,CA,92315
20078,1013950807,202,Family practice,0,,1,Family practice,Internal medicine,Hospice and Palliative Care,Pediatric medicine,Geriatric medicine,1,Dermatology,Neurology,Nephrology,Interventional cardiology,Gastroenterology,1,Otolaryngology,Urology,General surgery,Plastic and reconstructive surgery,Orthopedic surgery,1,1,0,CA,95076
6649,1780799403,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90505
21341,1902093610,1,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,95747
19328,1558820555,3,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,93230
